"doc_id","text"
"1130309207041937408","El momento en el que mi coraz<U+00F3>n se detuvo

Por siempre Reina #DaenerysTargaryen 

#GameofThrones #GOT https://t.co/sEmpgODdPt"
"1130309267238662145","Me the entire #GOTFinale #GameofThrones<U+00A0> #GameOfThronesFinale #PeterDinklage #TyrionLannister https://t.co/JHD6GZo3LT"
"1130309267213508608","so they really paralleled these scenes huh? #gameofthrones https://t.co/OyLaTBpblw"
"1130309230643294210","Entendemos o real motivo do Rei da Noite querer matar o Bran e todo mundo. ERA PRA NOS PROTEGER DESSE FINAL MERDAAAA! ANJO INJUSTI<U+00C7>ADO #GameOfThrones https://t.co/IjpXePdfX5"
"1130309267196719104","Essa deveria ser a verdadeira rea<U+00E7><U+00E3>o do Ghost quando o Jon Snow chegasse na muralha #GameofThrones https://t.co/YenAACtEua"
"1130309267188273153","In the end, Jon snow never knew anything.
#GameOfThrones #TheFinalEpisode https://t.co/qtymeziL2T"
"1130309240160182273","the biggest reason to why this is so heartbreaking is bc it<U+2019>s the same scene of the lion king where simba tries to wake up his dad. #gameofthrones https://t.co/KqmImIXUiA"
"1130309267146334208","Pueden decir lo que quieran pero yo si estoy feliz con el final de Sansa #GameOfThrones (Lo dem<U+00E1>s me lo pela, was so pathetic)"
"1130309267121213441","Season 1 - 10 episodes
Season 2 - 10 episodes
Season 3 - 10 episodes
Season 4 - 10 episodes 
Season 5 - 10 episodes
Season 6 - 10 episodes
Season 7 -  7 ""let's get this done"" 
Season 8 -  ""6 should do""

#got #lazg #GameOfThrones"
"1130309267096051713","""por que voc<U+00EA> acha que eu cheguei at<U+00E9> aqui?"" 

N<U+00C3>O SEI PORRA VOC<U+00CA> VEGETOU A S<U+00C9>RIE INTEIRA #GameOfThrones https://t.co/Ojl2ERxkRz"
"1130309267091841024","Arya<U+2019>s character arc was perfect<U+0001F64C> #GameOfThrones https://t.co/vrufTnn1Ep"
"1130309267087659010","alguien me puede explicar q mierda dieron antes q arranque por hbo algo de 7 infiernos estaba el actor y mata al otro jugador con peluca. tenia algo q ver con got ? #GameOfThrones"
"1130309267062427648","Shut up, it was perfect. #GameofThrones"
"1130309267054104576","Drogon quem<U+00F3> el trono porque el nuevo rey viene con silla propia. #GameOfThrones https://t.co/iuT87XCZcS"
"1130309267041529857","this shot is insanely powerful #gameofthrones https://t.co/XBSDinuozB"
"1130309267024748545","<U+0001F44D> to #GameOfThrones today. Honestly, the only logical way to end the series."
